[1, 1, 'True', True]
[2, 2, 'True', True]
[3, 3, 'True', True]
[4, 4, 'True', True]
[5, 5, 'True', True]
[6, 6, 'True', True]
[7, 7, 'True', True]
[8, 8, 'True', True]
[9, 9, 'True', True]
[10, 10, 'True', True]
[11, 11, 'True', True]
[12, 12, 'True', True]
[13, 13, 'True', True]
[14, 14, 'True', True]
[15, 15, 'True', True]
[16, 16, 'True', True]
[17, 17, 'True', True]
[18, 18, 'True', True]
[19, 19, 'True', True]
[20, 20, 'True', True]
[21, 21, 'True', True]
[22, 22, 'True', True]
[23, 23, 'True', True]
[24, 24, 'True', True]
[25, 25, 'True', True]
[26, 26, 'True', True]
[27, 27, 'True', True]
[28, 28, 'True', True]
[29, 29, 'True', True]
[30, 30, 'True', True]
[31, 31, 'True', True]
[32, 32, 'True', True]
[33, 33, 'True', True]
[34, 34, 'True', True]
[35, 35, 'True', True]
[36, 36, 'True', True]
[37, 37, 'True', True]
[38, 38, 'True', True]
[39, 39, 'True', True]
[40, 40, 'True', True]
[41, 41, 'True', True]
[42, 42, 'True', True]
[43, 43, 'True', True]
[44, 44, 'True', True]
[45, 45, 'True', True]
[46, 46, 'True', True]
[47, 47, 'True', True]
[48, 48, 'True', True]
[49, 49, 'True', True]
[50, 50, 'True', True]
[51, 51, 'True', True]
[52, 52, 'True', True]
[53, 53, 'True', True]
[54, 54, 'True', True]
[55, 55, 'True', True]
[56, 56, 'True', True]
[57, 57, 'True', True]
[58, 58, 'True', True]
[59, 59, 'True', True]
[60, 60, 'True', True]
[61, 61, 'True', True]
[62, 62, 'True', True]
[63, 63, 'True', True]
[64, 64, 'True', True]
[65, 65, 'True', True]
[66, 66, 'True', True]
[67, 67, 'True', True]
[68, 68, 'True', True]
[69, 69, 'True', True]
[70, 70, 'True', True]
[71, 71, 'True', True]
[72, 72, 'True', True]
[73, 73, 'True', True]
[74, 74, 'True', True]
[75, 75, 'True', True]
[76, 76, 'True', True]
[77, 77, 'True', True]
